unit_id;winner_found;winner_name;inn;customer_name;customer_inn;purchase_number;purchase_name;is_service_file;data_anonymized;confidence;processing_time_ms;model_used;timestamp
UNIT_02729f00140c4607;False;;;АО «Россети Центр закупок»;;32515584863;право заключения договора на корректировку проектной документации по титулу: «Реконструкция ВЛ 220 кВ Лопча – Юктали...»;False;;;17693;GLM-4.7;
UNIT_027bf812a7da4a90;True;Заявка №32038;;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД ""РЯБИНУШКА""";8613004739;;Поставка продуктов питания (бакалея);False;;0.7;39234;GLM-4.7;
UNIT_0288b0a2aec44c23;False;;;Общество с ограниченной ответственностью «Фарватер»;2901230116;32615610738;закупка способом запроса предложений дровяной древесины длиной от 4,0 до 6,1 м, объемом 5 000 плотных кубометров с поставкой в п. Усть-Пинега и п. Печки Холмогорского округа Архангельской области;False;;;64810;GLM-4.7;
UNIT_0295120ef7574829;True;Общество с ограниченной ответственностью ''КОНТИ-ПЛЮС'';;ГОСУДАРСТВЕННОЕ ОБЛАСТНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ''МУРМАНСКИЙ ОБЛАСТНОЙ МЕДИЦИНСКИЙ ЦЕНТР'';;32615629746;Экспресс-тесты;False;;1.0;24607;GLM-4.7;
UNIT_029b17017f0d4168;True;"ООО ""МЕДИКОСЕРВИС""";;"государственное бюджетное учреждение Брянской области ""Новозыбковская зональная ветеринарная лаборатория""";;32615621352;Техническое обслуживание медицинской техники;False;;1.0;98190;GLM-4.7;
UNIT_02d62e53a44641cd;True;"ООО ""ЦКИ""";;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 3""";;32615616836;Выполнение работ по установке перегородок из алюминиевых профилей, в рамках текущего ремонта на 1 этаже Стационара № 2 ГАУЗ «ОКБ №3»;False;;1.0;32870;GLM-4.7;
UNIT_0353471116674771;False;;;"АО ""ПРОМСЕРВИС""";;32615606510;Поставка продовольственных товаров категории «Замороженная продукция» для нужд ОСП «Челябинское» АО «Промсервис»;False;;;38314;GLM-4.7;
UNIT_0386837b22784bda;False;;;;;;;False;;;;GLM-4.7;
UNIT_039f20d5d2a348fa;True;Заявка №437614;;АО «Сахаэнерго»;;;поставка средств защиты рук;False;;0.7;24799;GLM-4.7;
UNIT_03a96920379143eb;True;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЕКТРОИНЖИНИРИНГ""";;"Публичное акционерное общество ""Волгоградские межрайонные электрические сети""";;32515553927;Выполнение работ по строительству электросетевого объекта «подключ»;False;;1.0;35783;GLM-4.7;
UNIT_03b66e45badd49f5;True;"ООО ""МАР""";;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""РЕСПУБЛИКАНСКАЯ БОЛЬНИЦА №1 - НАЦИОНАЛЬНЫЙ ЦЕНТР МЕДИЦИНЫ ИМЕНИ М.Е. НИКОЛАЕВА""";;32514553998;"Поставка лекарственного препарата ""Вемурафениб"" (МНН)";False;;0.9;31246;GLM-4.7;
UNIT_03c2267790b64ae7;True;Заявка №1;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕХНОПАРК НАГАТИНО""";;32514527413;"Оказание услуг по техническому обслуживанию парковочной системы RPS для нужд АО ""Технопарк Нагатино"" на 2025 год";False;;0.7;436279;GLM-4.7;
UNIT_03d003bed8694a55;True;Заявка №71430;;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ 'ВУЛКАН';4339008232;32615622912;Поставка твердого топлива (каменный уголь марки Др);False;;0.7;35331;GLM-4.7;
UNIT_041bc3f605fb4bb5;False;;;Публичное акционерное общество «Россети»;;32515486139;выполнение работ по модернизации модуля интеграции информационной системы раскрытия информации налогового учета Публичного акционерного общества «Россети» в рамках налогового мониторинга;False;;;40200;GLM-4.7;
UNIT_04783971bc8f44d8;False;;;АО «Дорожная служба»;;32615620091;;False;;;37045;GLM-4.7;
UNIT_0494769d6d634a0a;False;;;ПАО «Россети Центр»;;32515560102;запрос цен по результатам конкурентного предварительного отбора на право заключения Договора на выполнение работ «под ключ» для исполнения обязательств по технологическому присоединению 8 заявителей (Г) (лот 8500015760);False;;;37747;GLM-4.7;
UNIT_04dcc3ceb99448fc;False;;;;;;;False;;;39075;GLM-4.7;
UNIT_04f33f45bab14b5f;True;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИАЛОГПЛЮС""";;МАОУ «СОШ № 155 г. Челябинска»;;;Оказание услуг по организации горячего питания;False;;0.9;21355;GLM-4.7;
UNIT_05067646b4e74e5b;False;;;"ГУП ""Медицинская техника и фармация Татарстана""";;32615602579;Поставка лекарственных средств;False;;;16547;GLM-4.7;
UNIT_0518a5b9f6734fae;True;ПАО «Ростелеком»;;ФБУЗ «Центр гигиены и эпидемиологии в Пермском крае»;;32615628669;Оказание услуг по доступу к виртуальной автоматической телефонной станции.;False;;1.0;26262;GLM-4.7;
UNIT_052462cf23054a0a;False;;;Общество с ограниченной ответственностью «Продюсерский центр «Ленфильм»;;;;False;;;23063;GLM-4.7;
UNIT_0534fd82183d4d8c;False;;;;;32515521639;Поставка труб бесшовных общего назначения (включая котловые);False;;;41201;GLM-4.7;
UNIT_059459dcfd704bd5;True;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНДАСТРИЛАБ""";;ФГБУ «ЦОК АПК»;;32515544301;поставка химических реактивов;False;;1.0;38596;GLM-4.7;
UNIT_05b99d72cf1d4029;False;;;"ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ""ЭНЕРГЕТИК"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЕ ПОСЕЛЕНИЕ ГОРОД ЖУКОВ";;32615617082;выполнение работ по отбору проб и проведению анализов воды;False;;;26372;GLM-4.7;
UNIT_05da8e9ad4fb415d;True;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДАМ ГРУПП""";9714030631;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС""";;32514550426;"Выполнение работ по текущему ремонту помещения г. Дзержинск, ул. Петрищева, д. 10А для нужд Нижегородского филиала АО ""ЭнергосбыТ Плюс""";False;;1.0;43887;GLM-4.7;
UNIT_05f2defcb5184fb5;False;;;"ПЕТРОЗАВОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АВТОСПЕЦТРАНС""";;;поставка автомобильного бензина с использованием топливных карт;True;;;43597;GLM-4.7;
UNIT_06070fab30fb46cd;False;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ КАМСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";;;оказание услуг по проведению оценки (дополнительной оценки) уязвимости объектов транспортной инфраструктуры;False;;;35321;GLM-4.7;
UNIT_062ecb4d02be4842;True;Общество с ограниченной ответственностью ''КОНТИ-ПЛЮС'';;ГОСУДАРСТВЕННОЕ ОБЛАСТНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ''МУРМАНСКИЙ ОБЛАСТНОЙ МЕДИЦИНСКИЙ ЦЕНТР'';;32615629746;Экспресс-тесты;False;;1.0;22682;GLM-4.7;
UNIT_0672f97df1314814;False;;;ПАО «Россети Центр»;;;аукцион в электронной форме на право заключения Договора на оказание финансовых услуг (предоставление кредитных ресурсов в форме кредитной линии с лимитом задолженности 16 000 000 000 руб.);True;;;40356;GLM-4.7;
UNIT_06769653958b4038;True;ООО «ХЕМА»;7703201271;"Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в городе Москве""";7717149663;32515497554;Наборы реагентов;False;;1.0;24550;GLM-4.7;
UNIT_067c10d2d7cb4336;True;Заявка №2;;ВЕНЦ (предположительно);;32615605211;Насос LMФ100-20;False;;0.7;47275;GLM-4.7;
UNIT_06be2b87ee29491a;True;"ООО ""АРТИНДУСТРИЯ""";;"ГАУ НСО ""Молодежный драматический театр ""Первый театр""";;32515527747;Поставка кофров для перевозки театральных костюмов;False;;0.9;25172;GLM-4.7;
UNIT_06c006c09752418c;False;;;АО «Промсервис»;;32615606198;Поставка продовольственных товаров категории «Замороженная продукция» для нужд ОСП «Тюменское» АО «Промсервис»;False;;;32281;GLM-4.7;
UNIT_06d488b5eb834ec3;False;;;;;;;True;;;17797;GLM-4.7;
UNIT_070c02b649d54e3f;False;;;;;32515553563;;False;;;57975;GLM-4.7;
UNIT_0726ff5f048c44e1;True;"ЗАО ""ДАЛЬСИБ ФАРМАЦИЯ""";;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""РЕСПУБЛИКАНСКАЯ БОЛЬНИЦА №1 - НАЦИОНАЛЬНЫЙ ЦЕНТР МЕДИЦИНЫ ИМЕНИ М.Е. НИКОЛАЕВА""";;32514613730;Поставка лекарственных препаратов (гемостатические, антианемические, гипогликемические);False;;0.9;86726;GLM-4.7;
UNIT_074928adc572479a;True;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РТК""";;"Акционерное общество ""Инфраструктурные Проекты""";;32515437558;Запрос предложений в электронной форме на право заключения Договора на «ОКПД2: 22.19.40.110 Лента конвейерная»;False;;1.0;42796;GLM-4.7;
UNIT_080684f133584ed7;True;Заявка №6815;;"МКУ ""Техобеспечение""";;;"Выполнение дополнительных работ по технологическому присоединению Заявителя МКУ ""Техобеспечение"" к электрическим сетям АО ""РГРЭС""";False;;0.7;32966;GLM-4.7;
UNIT_0832dfe810bb4f19;False;;;;;;;False;;;;GLM-4.7;
UNIT_08550753d37846e6;False;;;;;;;False;;;;GLM-4.7;
UNIT_085b3afa050f47aa;True;Общество с ограниченной ответственностью «Примафарм»;9731038990;ГУП «Медицинская техника и фармация Татарстана»;;32615602271;Поставка лекарственных средств;False;;1.0;40289;GLM-4.7;
UNIT_088cd2e1762c4821;False;;;;;;;True;;;51452;GLM-4.7;
UNIT_08b060bcead347ec;True;"ООО ""КПЛ""";;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА НОВОСИБИРСКА ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 217""";;32615622756;Оказание услуг по организации бесплатного горячего питания учеников, детей военнослужащих, принимающих участие в специальной военной операции в МАОУ СОШ № 217;False;;1.0;34817;GLM-4.7;
UNIT_08f922d00ded4906;False;;;;;;;False;;;;GLM-4.7;
UNIT_09144293d3c34df3;False;;;;;;;False;;;;GLM-4.7;
UNIT_0922132da1424afc;False;;;В соответствии с документацией о закупке;;32515584863;право заключения договора на корректировку проектной документации по титулу: «Реконструкция ВЛ 220 кВ Лопча – Юктали...»;False;;;40535;GLM-4.7;
UNIT_09485eca491f4574;False;;;;;;;False;;;;GLM-4.7;
UNIT_0956644a2d984742;True;Заявка №1;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСГАЗ""";;32514490637;Поставка стальных деталей трубопроводов для ремонта и перекладки газопроводов на объекты АО «МОСГАЗ»;False;;0.7;50427;GLM-4.7;
UNIT_0967008654a449d0;False;;;;;;Закупочная процедура (данные отсутствуют);True;;;53105;GLM-4.7;
UNIT_0968c19089474a46;False;;;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""АРТИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";;32515472457;Микробиологические исследования от стационарных больных;False;;;25613;GLM-4.7;
UNIT_098ad8d2b7844218;False;;;;;;;False;;;;GLM-4.7;
UNIT_099843bae0af412d;False;;;;;;;False;;;349611;GLM-4.7;
UNIT_09b1185a2f8a4451;True;Заявка №47879;;"ГУП ""Медицинская техника и фармация Татарстана""";;32515565769;Поставка лекарственных средств;False;;0.7;51174;GLM-4.7;
UNIT_09f55b65f1fc4c7e;True;"АО ""ГОСУДАРСТВЕННЫЙ КОМБИНАТ ПИТАНИЯ""";;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА В.С. КУРКОВА П. БЫТОШЬ ДЯТЬКОВСКОГО РАЙОНА БРЯНСКОЙ ОБЛАСТИ;;32615606699;Оказание услуг по организации бесплатного горячего питания обучающихся 1-4 классов, организации питания обучающихся 5-11 классов, многодетных семей;False;;1.0;53905;GLM-4.7;
UNIT_0a44aead73904488;True;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМТ ВОЛЬФ""";7713643896;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""КРАСНОУРАЛЬСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";;32514542840;Изделия медицинского назначения;False;;1.0;77941;GLM-4.7;
UNIT_0a9d54af9d1d4a56;True;"ЧУЗ ""КБ ""РЖД-МЕДИЦИНА"" Г.ЧИТА""";;"ГОСУДАРСТВЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКАЯ КРАЕВАЯ ГИМНАЗИЯ-ИНТЕРНАТ""";;;Проведение периодического медицинского осмотра работников ГОУ «Забайкальская краевая гимназия-интернат»;False;;0.9;42018;GLM-4.7;
UNIT_0ae8f1b0e1204468;False;;;;;;;True;;;22919;GLM-4.7;
UNIT_0aec287fce8541ff;True;"АО ""Россети Управление имуществом""";;Филиал ПАО «Россети» - МЭС Урала;;;право заключения договора на оказание услуг аренды транспортных средств для нужд филиала ПАО «Россети» - МЭС Урала в 2025 - 2030 гг.;False;;0.9;25545;GLM-4.7;
UNIT_0b17e67c50594294;True;"Общество с ограниченной ответственностью ""Альбатрос""";7724922443;"ГУП ""Медицинская техника и фармация Татарстана""";;32515594144;Поставка лекарственных средств;False;;1.0;59041;GLM-4.7;
UNIT_0b2174f42e38420a;True;"ООО ""РАДУГА""";;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА САМАРА ""ТРАМВАЙНО-ТРОЛЛЕЙБУСНОЕ УПРАВЛЕНИЕ""";;32515467746;Проведение обязательных предварительных и периодических медицинских осмотров;False;;0.9;42333;GLM-4.7;
UNIT_0b241c5c5803481d;True;"ООО ""ПУЛЬС КРАСНОДАР""";;ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ АДЫГЕЯ АПТЕЧНАЯ БАЗА;;32615606065;Поставка лекарственного препарата Осельтамивир;False;;1.0;45903;GLM-4.7;
UNIT_0b4a35c9c5544203;True;ООО «Гильдия Инженеров»;7702729277;Федеральное государственное учреждение науки Ордена Ленина и Ордена Октябрьской Революции Институт геохимии и аналитической химии им. В.И. Вернадского Российской академии наук (ГЕОХИ РАН);;;Работы по изготовлению технического плана на объекте недвижимости;False;;1.0;48562;GLM-4.7;
UNIT_0baa4f2e19564828;True;ООО «НПК»;7446046630;филиал «Колымская ГЭС имени Фриштера Ю.И.» ПАО «Колымаэнерго»;;32515401394;«ОКПД2 71.12.40.129 Поверка компонентов автоматизированной информационно–измерительной системы учета электроэнергии»;False;;1.0;64055;GLM-4.7;
UNIT_0bb68483e6d5466c;True;"ООО МК ""РЕГИОН-МЕДИКА""";;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 3""";;32615616835;Поставка масок анестезиологических;False;;1.0;62036;GLM-4.7;
UNIT_0c31b740b05c4c22;True;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ РЕГИОНАЛЬНЫЙ ЦЕНТР СТАНДАРТИЗАЦИИ, МЕТРОЛОГИИ И ИСПЫТАНИЙ В КРАСНОЯРСКОМ КРАЕ, РЕСПУБЛИКЕ ХАКАСИЯ И РЕСПУБЛИКЕ ТЫВА""";;"краевое государственное бюджетное учреждение дом социального обслуживания ""Ачинский""";;32615604127;техническое обслуживание и ремонт медицинской техники;False;;1.0;106008;GLM-4.7;
UNIT_0c31fb327cc24b7d;True;"ООО ""ТД ""ВОСТОК-СЕРВИС""";;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САЛЕХАРДЭНЕРГО""";;;Поставка специальной одежды для нужд АО «Салехардэнерго» на первое полугодие 2026 года.;False;;0.9;31140;GLM-4.7;
UNIT_0c334ee44353433b;True;"Общество с ограниченной ответственностью ""ЭФФЕКТИВНАЯ ЭНЕРГИЯ""";7720944703;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ «ФЕДЕРАЛЬНЫЙ ЦЕНТР ОХРАНЫ ЗДОРОВЬЯ ЖИВОТНЫХ» (ФГБУ «ВНИИЗЖ»);;32615617058;поставка фильтров для нужд ФГБУ «ВНИИЗЖ»;False;;1.0;42343;GLM-4.7;
UNIT_0c33c38fcbc04063;False;;;"ГУП ""Медицинская техника и фармация Татарстана""";;32615602571;Поставка лекарственных средств;False;;;21824;GLM-4.7;
UNIT_0c7737e7b9c94b18;True;"ООО ""АМ-ГРУПП""";3435143810;"МАУ ""СГТ""";;32515576431;Работы по техническому обслуживанию детекторов транспорта, расположенных на территории городского округа – город Волжский Волгоградской области.;False;;1.0;57641;GLM-4.7;
UNIT_0c9996186a374ed0;True;Участник 4;;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САНАТОРИЙ ""ДОМАШОВО"" ДЛЯ ДЕТЕЙ С РОДИТЕЛЯМИ""";;32615607208;Поставка электрических товаров (лампа, стартер);False;;0.7;54114;GLM-4.7;
UNIT_0cab135be3544322;True;"ООО ""АМ-ГРУПП""";3435143810;"МАУ ""СГТ""";;32615611986;Выполнение работ по ежеквартальному техническому обслуживанию информационного табло остановочного пункта (ИТОП).;False;;1.0;55290;GLM-4.7;
UNIT_0d0a4c2d241144f9;False;;;"ГУП ""Медицинская техника и фармация Татарстана""";;32615602564;Поставка лекарственных средств;False;;;68592;GLM-4.7;
UNIT_0d45de30011e422a;True;Общество с ограниченной ответственностью «ФармМентал групп»;7729778070;"ГУП ""Медицинская техника и фармация Татарстана""";;32615602274;Поставка лекарственных средств;False;;1.0;31576;GLM-4.7;
UNIT_0d4d6577040d4bd5;False;;;"ГУП ""Медицинская техника и фармация Татарстана""";;32615602561;Поставка лекарственных средств;False;;;15778;GLM-4.7;
UNIT_0dabcdcb5efb4fe7;False;;;АО «Хибинская тепловая компания»;;;;False;;;112481;GLM-4.7;
UNIT_0dd10c6ecdbe42c7;True;ИП Казанов А.Л.;;ООО «ЖКС КРОНШТАДТСКОГО РАЙОНА»;;32615626162;Выполнение работ по косметическому ремонту лестничной клетки по адресу: г. Санкт-Петербург, г. Кронштадт, Кронштадтское шоссе, 10, корпус 3, лестничная клетка № 1.;False;;1.0;86760;GLM-4.7;
UNIT_0e5bf8a7131f4987;True;"ООО ""СОДЕЙСТВИЕ""";;"ГАУ НСО ""РЦСП СК И СР""";;32615622697;Оказание услуг по проведению предварительного  медицинского осмотра;False;;1.0;20218;GLM-4.7;
UNIT_0e97e1ed40564016;True;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КЛИНИКО-ДИАГНОСТИЧЕСКИЙ ЦЕНТР ""ЦЕНТРОМЕД""";6950084472;ФГУП «Охрана» Росгвардии;;32515590488;Запрос котировок в электронной форме на право заключения Договора на оказание услуг по проведению предварительных и периодических медицинских осмотров работников для нужд филиала по Тверской области в 2026 году;False;;1.0;95710;GLM-4.7;
UNIT_0f0c496e7e874bf8;True;Участник № 1;;АО «НТЭК»;;32515525767;запрос котировок в электронной форме на право заключения договоров: поставки средств защиты, спецодежды, спецобуви для АО «НТЭК» в 2026 году;False;;1.0;81184;GLM-4.7;
